Sl. No.	Chen	Gierahn	Grun	Islam	Klein	Savas	Soumillon2	Tung	Soumillon1	Zigenhein	Soumillon3
564	ENSG00000145040	NKX6-1	Tmem98	Unc5c	Vmn1r10	ENSG00000080603	TLR2	ENSG00000106526	DDRGK1	ENSMUSG00000036305	ARHGAP28
565	ENSG00000241479	RP1-120G22.11	Plcl2	Akap13	4932411E22Rik	ENSG00000259768	TRIM54	ENSG00000269175	ADSS	ENSMUSG00000099188	ADAM19
566	ENSG00000113494	RP11-1186N24.5	Creg2	Klraq1	Prss50	ENSG00000140948	WDR86-AS1	ENSG00000092054	USP37	ENSMUSG00000062040	IFIT5
567	ENSG00000249797	RP11-13J10.1	Phyhd1	Nbl1	Isx	ENSG00000260528	LINC00927	ENSG00000174448	HAS2-AS1	ENSMUSG00000081153	RANBP6
568	ENSG00000182132	RP11-166B2.1	Tmem141	Aldh1a7	Tdpoz3	ENSG00000262165	SLC39A3	ENSG00000182584	ARHGAP29	ENSMUSG00000082423	TCF3
569	ENSG00000230873	RP11-247A12.2	Akr1b3	Gipc2	Trabd2b	ENSG00000109099	PRKACB	ENSG00000188511	SLC25A20	ENSMUSG00000038370	RAD17
570	ENSG00000271860	RP11-61L19.3	Gm6644	Mmp2	Chrng	ENSG00000186185	TMPRSS7	ENSG00000164853	TMEM251	ENSMUSG00000028457	ENPP2
571	ENSG00000228944	ST3GAL6-AS1	Itgb7	Gadd45g	Asb14	ENSG00000259384	ELF5	ENSG00000183479	GRIN2C	ENSMUSG00000078965	ACSM5
572	ENSG00000214128	TERT	Ptrh1	Sema3b	Bfsp2	ENSG00000176809	ERC2-IT1	ENSG00000137142	RAD17	ENSMUSG00000007783	EFNA1
573	ENSG00000159403	TMEM37	Arhgap29	Slc25a38	Mir8091	ENSG00000169750	MYOM3	ENSG00000260362	MLF1	ENSMUSG00000081414	HAGHL
574	ENSG00000272695	TRABD2B	Bag2	Stk39	Olfr107	ENSG00000267136	PRKAR2A	ENSG00000153157	SLC4A7	ENSMUSG00000025602	KRT26
575	ENSG00000246465	WI2-80269A6.1	Dusp4	Setd7	Olfr1134	ENSG00000141447	APOBEC3A	ENSG00000253426	ARFIP1	ENSMUSG00000018740	RBM46
576	ENSG00000259867	C14orf159	Esyt3	Ctf1	Zp1	ENSG00000183287	LOC339622	ENSG00000188707	PIR-FIGF	ENSMUSG00000022197	SYNGR2
577	ENSG00000131471	APLF	Rasl11b	Rab30	Psg16	ENSG00000125846	ZNF613	ENSG00000213145	HAS2	ENSMUSG00000085984	CDC14A
578	ENSG00000235965	CDNF	Ripk4	Dennd4a	Itih1	ENSG00000101400	AFAP1L2	ENSG00000165171	SNTA1	ENSMUSG00000038383	CDKL3
579	ENSG00000278705	PPP1R16B	Vasn	Tmem115	Vstm2a	ENSG00000167654	ALX1	ENSG00000238244	METTL10	ENSMUSG00000027823	DCAF17
580	ENSG00000156096	PRIM2	Ptrf	Rbms1	1700021N21Rik	ENSG00000142528	APOBEC4	ENSG00000135902	ALG14	ENSMUSG00000003283	IGF2BP3
581	ENSG00000122477	ZNF222	Snrpn	Sema5a	Mfsd12	ENSG00000218891	CYP1B1-AS1	ENSG00000169860	SCN9A	ENSMUSG00000021466	KLF2
582	ENSG00000236154	ARHGAP31	Mbnl1	BC005561	Vmn2r1	ENSG00000099715	GPR171	ENSG00000214860	ZNF425	gERCC-00028	NDC80
583	ENSG00000275936	BAI1	Bin1	Cyp26b1	Myh8	ENSG00000181481	KCND2	ENSG00000187398	MPLKIP	ENSMUSG00000032202	PLEKHF2
584	ENSG00000100867	BMF	Pnp	Ahr	Noxo1	ENSG00000146918	MYCBP2-AS1	ENSG00000268470	TASP1	ENSMUSG00000023892	RAB15
585	ENSG00000204929	MED14-AS1	Trim16	Zbtb4	Tssk4	ENSG00000171793	NAV2-AS4	ENSG00000168843	AREL1	ENSMUSG00000085214	RASA2
586	ENSG00000151623	NPIPA1	Fut9	Triobp	Serpina11	ENSG00000178718	OTUB2	ENSG00000131848	ARL13B	ENSMUSG00000000731	S1PR1
587	ENSG00000274068	PGAM4	Rab11fip5	Hic1	Slc2a7	ENSG00000184005	PCDHGA11	ENSG00000132872	ERCC8	ENSMUSG00000084792	SEMA7A
588	ENSG00000080224	RP11-61A14.1	Agpat4	Cux1	Ucn3	ENSG00000211778	PCDHGB4	ENSG00000175538	ITGA10	ENSMUSG00000097883	SUZ12
589	ENSG00000203650	RP11-92G12.3	AA792892	Lrp1	1600015I10Rik	ENSG00000022556	RANBP3L	ENSG00000131831	MUM1	ENSMUSG00000025533	TMEM194B
590	ENSG00000147408	SH3BP5-AS1	Etv1	Cblb	Olfr329-ps	ENSG00000135919	RPS6KA2-IT1	ENSG00000138083	NFYA	ENSMUSG00000048349	ANGPTL4
591	ENSG00000225850	TMEM220	Rnf165	Spink10	Peg3os	ENSG00000188290	SMEK3P	ENSG00000131969	PIK3CB	ENSMUSG00000022210	FAT1
592	ENSG00000264735	WDR5B	Rasgrp1	Rela	Rgs6	ENSG00000139618	ZNF792	ENSG00000162148	FAM13A-AS1	ENSMUSG00000033055	NTM
593	ENSG00000279467	HIVEP3	Gt(ROSA)26Sor	Tmco3	Kcne1l	ENSG00000085840	LINC00926	ENSG00000137672	FAM149B1	ENSMUSG00000038520	SMCHD1
594	ENSG00000260583	RTN1	Ly6a	Traf3	Treml1	ENSG00000172348	FRMPD4	ENSG00000268324	LDHAL6A	ENSMUSG00000030556	POMZP3
595	ENSG00000140968	SMAD7	Bc1	Xist	Ttc23l	ENSG00000232160	FANCC	ENSG00000153303	MFAP2	ENSMUSG00000024261	ULK4
596	ENSG00000185615	SOWAHC	Gm7102	Slc22a23	Fgd3	ENSG00000105499	LINC00964	ENSG00000253633	PSMD6	ENSMUSG00000097134	TRRAP
597	ENSG00000173947	TEF	Ndrg4	Mboat2	Gm6042	ENSG00000141696	NCRNA00185	ENSG00000152256	LOC100505761	ENSMUSG00000062353	FAM149B1
598	ENSG00000152672	TPGS1	Parp12	r_IAPLTR4	Krtap19-1	ENSG00000119326	SIGLEC11	ENSG00000115648	EMILIN2	ENSMUSG00000045679	MKL2
599	ENSG00000271993	PLCD1	Gm10785	Dusp16	Olfr448	ENSG00000174442	ADRA1B	ENSG00000254402	KRBA1	ENSMUSG00000078154	SUFU
600	ENSG00000053108	RP5-1103G7.4	BC021767	Efemp1	Rdh7	ENSG00000100985	CCDC129	ENSG00000179271	USP20	ENSMUSG00000029070	EVA1A
601	ENSG00000280303	SUFU	Cdc42ep1	Sdhaf1	Vmn2r115	ENSG00000168329	CCR1	ENSG00000183638	CIDECP	ENSMUSG00000027956	FBXO28
602	ENSG00000259905	ALDH1A3	Dusp18	Sec24d	Krt84	ENSG00000112116	CLEC12A	ENSG00000169306	CUL4B	ENSMUSG00000097310	C9orf16
603	ENSG00000244952	ABCB9	Gm1673	Rps19bp1	6030419C18Rik	ENSG00000130635	FCRL2	ENSG00000129194	DENND5B-AS1	ENSMUSG00000097258	C6
604	ENSG00000168418	C21orf2	Gmds	Thbd	Gpr123	ENSG00000137496	HNF4A	ENSG00000215910	BCAS4	ENSMUSG00000084911	DOCK4
605	ENSG00000263305	AC009506.1	Ptprn	Akr1e1	Gm4814	ENSG00000213347	KIAA0125	ENSG00000205571	HIST1H1E	ENSMUSG00000055660	NCS1
606	ENSG00000266983	FAM181B	Acsf2	Ptpn9	Nccrp1	ENSG00000189057	MCF2L-AS1	ENSG00000108231	SAMD11	ENSMUSG00000050953	AURKB
607	ENSG00000232692	LMO2	Fam19a4	Tsen54	Plekhg6	ENSG00000135318	MPEG1	ENSG00000065320	TESPA1	ENSMUSG00000081909	C11orf82
608	ENSG00000121454	MGAT5B	Fbxl12	Lgals9	Gm7325	ENSG00000211815	MRAP2	ENSG00000197181	FAM138D	ENSMUSG00000022668	EFTUD1P1
609	ENSG00000105963	MT-TH	Got1l1	Hps5	Olfr283	ENSG00000112115	MYL4	ENSG00000175592	ADH1A	ENSMUSG00000046442	IPO11
610	ENSG00000135519	PCDHGC3	Tfap2a	r_RLTR31_Mur	4930470P17Rik	ENSG00000166263	NDP	ENSG00000186118	NHSL1	ENSMUSG00000033416	LOC100499489
611	ENSG00000186860	RAPGEFL1	Unc13d	Hoxb9	Olfr1284	ENSG00000183684	PRODH2	ENSG00000231360	UNC45B	ENSMUSG00000026854	PRMT3
612	ENSG00000162631	RP1-213J1P__B.1	4921508A21Rik	Il3ra	Slc25a45	ENSG00000103512	RPS4Y2	ENSG00000256374	GNG2	ENSMUSG00000021798	RGL1
613	ENSG00000139116	RP11-4O1.2	Zc3h8	Sh3bp5	Ccdc8	ENSG00000077152	SORCS1	ENSG00000023839	ZNF75D	ENSMUSG00000046312	RWDD2A
614	ENSG00000230415	RP11-73M18.6	Gm6792	Sorbs2	Slc25a42	ENSG00000065485	TOLLIP-AS1	ENSG00000149043	PLCB3	ENSMUSG00000048154	SVIP
615	ENSG00000246982	SALL4	Mitf	Sod3	Cdh24	ENSG00000064652	TSPAN32	ENSG00000133800	MANF	ENSMUSG00000094597	KIF26B
616	ENSG00000141449	TLR6	Dusp3	Aebp1	Mmp7	ENSG00000149131	WFDC12	ENSG00000129159	MGP	ENSMUSG00000031864	CEP85L
617	ENSG00000253768	TTYH1	Ak4	Fxyd5	Olfr824	ENSG00000173599	LINC00477	ENSG00000204710	ITPKC	ENSMUSG00000062661	CSNK1G3
618	ENSG00000146070	USP27X-AS1	0610010F05Rik	2210403K04Rik	4930550L24Rik	ENSG00000161642	SYNE1	ENSG00000151715	TMEM25	ENSMUSG00000071369	LOC374443
619	ENSG00000241131	CCDC148	Socs5	Wisp1	Cyp2d40	ENSG00000259642	LOC286177	ENSG00000176435	SMCR5	ENSMUSG00000000555	APOBEC4
620	ENSG00000280709	CTD-2054N24.2	Serpinh1	Bcl2l11	Mrgpra2b	ENSG00000179583	C12orf49	ENSG00000211448	ADM	ENSMUSG00000029304	AXDND1
621	ENSG00000104059	DBNDD2	Lad1	Kif7	Olfr145	ENSG00000176014	FAM83A	ENSG00000185823	LOC401010	ENSMUSG00000062101	C22orf23
622	ENSG00000163806	RP11-746M1.1	E530001F21Rik	Tmem82	Olfr669	ENSG00000173581	CD33	ENSG00000185594	SACS	ENSMUSG00000028331	C4B_2
623	ENSG00000232352	PRR23C	Usp43	St3gal1	Rhox3e	ENSG00000273272	FLJ41200	ENSG00000251537	MADD	ENSMUSG00000044906	C9orf129
624	ENSG00000244459	AC007161.5	Snurf	Odz3	Serpinb1b	ENSG00000049768	USP29	ENSG00000161610	PIP5K1C	ENSMUSG00000029175	C9orf131
625	ENSG00000261604	AC034220.3	Pla1a	Stk11ip	Pilrb1	ENSG00000123975	LOC100134229	ENSG00000005102	PSMG1	ENSMUSG00000081631	CALB2
626	ENSG00000224204	APCDD1	Kdelr3	Map2k3	Ror1	ENSG00000123416	HDX	ENSG00000121068	MYCT1	ENSMUSG00000024454	CELSR3
627	ENSG00000169297	ARHGAP4	AU015836	Ccdc102a	Smpdl3a	ENSG00000104341	PSMD6-AS2	ENSG00000266258	HSD3BP4	ENSMUSG00000029669	CEP72
628	ENSG00000178031	B3GNT3	Actn3	Serping1	Actl10	ENSG00000198467	NOS3	ENSG00000263812	CLDN11	ENSMUSG00000061371	CES1P2
629	ENSG00000213694	BMP6	Arhgef28	Slc6a9	Ifnl3	ENSG00000173391	LINC00691	ENSG00000268182	SLC25A37	ENSMUSG00000038930	CNOT3
630	ENSG00000219435	CHRNA4	D1Pas1	Lrp4	Mroh7	ENSG00000183150	CDC42BPA	ENSG00000055813	SULF1	ENSMUSG00000091028	DMGDH
631	ENSG00000257279	CTD-2020K17.1	Hsbp1l1	Fam43a	Nme9	ENSG00000168411	LINC00967	ENSG00000135625	ACTA2	ENSMUSG00000078041	DPYD-AS1
632	ENSG00000246394	DLX6-AS1	Prph	Jdp2	Olfr1510	ENSG00000012048	MT1F	ENSG00000187627	HINT2	ENSMUSG00000090737	FIBCD1
633	ENSG00000140853	DMRTA1	Runx1t1	Parp3	Olfr524	ENSG00000228716	RFX7	ENSG00000196872	CSNK1G2-AS1	ENSMUSG00000085290	FLJ37201
634	ENSG00000278341	FBXW12	Hormad2	Trh	Orm2	ENSG00000171956	AOC4P	ENSG00000268241	CHRDL1	ENSMUSG00000081101	FOXF2
635	ENSG00000185924	GPR19	Kif5a	Mex3b	Slc38a11	ENSG00000224397	C6orf25	ENSG00000101307	CPN2	ENSMUSG00000039183	HEPHL1
636	ENSG00000267231	HIC1	Rhbdf1	Fgfr2	Bmpr1b	ENSG00000186818	MCHR2	ENSG00000196074	LINC00264	ENSMUSG00000024399	HSPB2
637	ENSG00000236780	IL1R1	Pi4k2b	4932415G12Rik	Ocm	ENSG00000175274	WWC2	ENSG00000188064	OPN3	ENSMUSG00000027248	KCND1
638	ENSG00000259264	IZUMO4	Ppfia4	Ss18l1	Krt34	ENSG00000011600	CYP4F3	ENSG00000114270	SELPLG	ENSMUSG00000050619	KIF9-AS1
639	ENSG00000169432	LRRTM4	Id1	BC017612	Mir5100	ENSG00000175643	MPP2	ENSG00000183396	TICRR	ENSMUSG00000040044	LINC00472
640	ENSG00000143631	MICAL2	Lrriq4	Fmod	1700012P22Rik	ENSG00000166508	RPL3L	ENSG00000168309	FBXL15	ENSMUSG00000040907	LOC100287036
641	ENSG00000182257	N4BP3	Fank1	Tppp3	AF251705	ENSG00000121753	USP38	ENSG00000174963	LINC00909	ENSMUSG00000001120	LOC100505658
642	ENSG00000265485	NEUROG2	Rhox2g	Utf1	Gm11240	ENSG00000264207	STK4-AS1	ENSG00000109684	IRF4	ENSMUSG00000028709	MEOX2
643	ENSG00000185745	PEX12	Urgcp	Rassf3	Slco1a1	ENSG00000234614	CYP3A4	ENSG00000074966	MROH1	ENSMUSG00000053613	MYH8
644	ENSG00000119973	PROX1-AS1	Nudt5	Ghr	Cyp2f2	ENSG00000162757	CATSPER2P1	ENSG00000171476	PTPDC1	ENSMUSG00000080800	NAV2-AS4
645	ENSG00000265943	RNASE4	Cbs	Atp6v0a2	Olfr1508	ENSG00000002587	BMP2K	ENSG00000270394	CHCHD3	ENSMUSG00000085236	PCDHGA11
646	ENSG00000236617	RP11-120D5.1	Pdgfrb	Creb3l1	Ankrd33	ENSG00000272367	NANOGNB	ENSG00000154162	RUSC1	ENSMUSG00000082296	PCDHGA7
647	ENSG00000185352	RP11-141B14.1	Fam129b	Vac14	Gzmn	ENSG00000271737	SMIM22	ENSG00000078795	SMEK2	ENSMUSG00000067344	PCDHGB4
648	ENSG00000156574	RP11-276H19.2	Myh7b	Kptn	Mbl1	ENSG00000124721	LOC100506688	ENSG00000184584	LINC00605	ENSMUSG00000057234	PRC1-AS1
649	ENSG00000169306	RP11-284N8.3	Efnb2	Mafb	Olfr1123	ENSG00000240889	LOC100505761	ENSG00000204970	C10orf126	ENSMUSG00000026389	PRKCZ
650	ENSG00000188396	RP11-490M8.1	Fgf17	Tm2d1	Fibcd1	ENSG00000010671	ILDR2	ENSG00000204969	LINC00858	ENSMUSG00000043631	RACGAP1P
651	ENSG00000175018	RP11-513M16.7	Gm525	Cd44	Vsig4	ENSG00000085185	PRKG1	ENSG00000118322	LOC727982	ENSMUSG00000082505	RANBP3L
652	ENSG00000258792	RP11-640M9.1	Kirrel2	Tspan2	Nkx3-2	ENSG00000197629	HUNK	ENSG00000146054	NCS1	ENSMUSG00000069324	RPS6KA2-IT1
653	ENSG00000267498	RP11-677I18.3	Pex2	Arhgap6	Fam84a	ENSG00000246889	FCRL1	ENSG00000054598	PPP1R9B	ENSMUSG00000016382	SLC25A52
654	ENSG00000196542	RP11-680A11.5	Ptgs2	Twist2	Prickle4	ENSG00000137507	DCX	ENSG00000153292	WDR47	ENSMUSG00000011427	SMEK3P
655	ENSG00000271973	RP11-72M17.1	Slc6a15	Hist1h3d	C2cd4d	ENSG00000182985	LOC286467	ENSG00000112246	LINC00339	ENSMUSG00000040525	STARD10
656	ENSG00000273409	RP11-83N9.5	Usp25	Scara3	Olfr654	ENSG00000197889	HCG9	ENSG00000120279	SLC1A6	ENSMUSG00000018347	SUSD3
657	ENSG00000016402	RP11-966I7.1	Fstl1	S1pr3	Pdcd1	ENSG00000108187	ZNF165	ENSG00000185177	SLC41A1	ENSMUSG00000024410	TAS2R10
658	ENSG00000077327	RP13-270P17.3	Rab25	Rhoj	Tnr	ENSG00000121742	C4B_2	ENSG00000242950	UBAC2	ENSMUSG00000046185	TLL1
659	ENSG00000233005	USP3-AS1	Trerf1	Zufsp	Pgr15l	ENSG00000225760	C9orf131	ENSG00000106034	LOC100288637	ENSMUSG00000006469	TMEM254
660	ENSG00000219438	RP11-332H14.2	Calr4	Tuft1	Zfp366	ENSG00000099364	CALB2	ENSG00000271079	MLYCD	ENSMUSG00000038009	USP18
661	ENSG00000188257	HLA-DPB1	Dlgap1	Bmpr1a	Mir5622	ENSG00000265666	CCDC171	ENSG00000177710	LINC00936	ENSMUSG00000003873	XRCC6BP1
662	ENSG00000044012	PBLD	Klhl15	Ano3	Olfr849	ENSG00000116014	DPYD-AS1	ENSG00000256655	RNF130	ENSMUSG00000037029	ZNF792
663	ENSG00000117595	FAM46C	Map3k8	Ttll7	Omg	ENSG00000243440	FLJ22447	ENSG00000178685	LOC100505776	ENSMUSG00000082534	NAB1
664	ENSG00000272823	HEY2	Prr15l	Rabep2	Pcdhb9	ENSG00000130203	FLJ37201	ENSG00000215126	MAF1	ENSMUSG00000084379	ZP3
665	ENSG00000162849	AC096772.6	Gas6	Camkk1	Olfr488	ENSG00000143167	KCND1	ENSG00000106823	CADM2-AS2	ENSMUSG00000028100	AMMECR1
666	ENSG00000234597	AP5Z1	Uchl1	Il17ra	Mas1	ENSG00000012223	KRT12	ENSG00000165181	COPRS	ENSMUSG00000068823	SMURF2
667	ENSG00000144031	ENTPD1	Scn1b	BC017158	Apoa2	ENSG00000197279	LCA5	ENSG00000175556	IL20RB	ENSMUSG00000051224	SULF1
668	ENSG00000249884	RP5-1074L1.4	Npl	Cebpd	Grid2ip	ENSG00000168393	MBP	ENSG00000022355	PCBP4	ENSMUSG00000056515	EPHB6
669	ENSG00000224850	TENM3	Ptgis	Kif3b	Ankk1	ENSG00000105011	NR3C2	ENSG00000151632	PTPRZ1	ENSMUSG00000041119	ULK4P1
670	ENSG00000272181	ZCCHC4	Coro1a	Ifngr1	Crhr2	ENSG00000250303	NSFP1	ENSG00000160593	XKR5	ENSMUSG00000032127	ANKRD20A12P
671	ENSG00000241295	TRIM36	Gm3336	Lpin2	Olfr311	ENSG00000101160	PTGER4	ENSG00000168748	ZNF607	ENSMUSG00000080851	BRPF3
672	ENSG00000180353	PHEX-AS1	Msx2	Snrnp35	Plg	ENSG00000100368	SFMBT1	ENSG00000151948	C21orf58	ENSMUSG00000053600	FOXC1
673	ENSG00000137449	AC012309.5	Ppp1r15a	Qpctl	Bpifa2	ENSG00000112029	SH3BGRL2	ENSG00000069399	CRADD	ENSMUSG00000020583	MGP
674	ENSG00000168843	AC062029.1	Wls	4930471M23Rik	Fate1	ENSG00000146216	SUSD3	ENSG00000204389	TNFAIP2	ENSMUSG00000028294	ADAMTS12
675	ENSG00000249655	AGAP2-AS1	Cnga4	Hsd17b14	Olfr520	ENSG00000125885	XKR5	ENSG00000112562	UBE2C	ENSMUSG00000073436	USP37
676	ENSG00000133710	AL161915.1	Axin2	Reps1	Gm5477	ENSG00000138678	LOC389641	ENSG00000163106	ZBTB20	ENSMUSG00000043831	TGFBI
677	ENSG00000137266	AL645728.1	Gm8267	Metrnl	Prg3	ENSG00000204287	GOLGA6L6	ENSG00000117069	ITGA6	ENSMUSG00000060376	KCNK2
678	ENSG00000213588	ARAP3	Serping1	Acvr1	Spns3	ENSG00000083093	DUXA	ENSG00000152977	LOC339524	ENSMUSG00000091580	CCDC34
679	ENSG00000231170	CCDC30	Adam19	Prickle2	Zfp652os	ENSG00000172243	POPDC3	ENSG00000167874	IRF2BPL	ENSMUSG00000057696	EXOC2
680	ENSG00000126752	IGDCC4	Snn	Apaf1	Cgnl1	ENSG00000109654	EMB	ENSG00000183889	MRPS26	ENSMUSG00000052544	SCARF2
681	ENSG00000226310	IRF2BP1	Pxk	Mapkbp1	Thpo	ENSG00000085871	SCRN3	ENSG00000170276	STEAP1	ENSMUSG00000034105	NEK7
682	ENSG00000271826	MCF2L2	Ablim1	Acbd3	Fabp1	ENSG00000232855	GPR112	ENSG00000173213	METTL25	ENSMUSG00000021037	FLYWCH2
683	ENSG00000107317	NCALD	Slc39a11	Mthfsd	Olfr1181	ENSG00000101017	NR5A2	ENSG00000134438	TMEM259	ENSMUSG00000037353	C7orf31
684	ENSG00000254860	NTNG1	Dnmt3a	Efna5	Cldn17	ENSG00000169504	LRRC25	ENSG00000198099	CACNA1A	ENSMUSG00000028953	CCDC39
685	ENSG00000272516	PI15	Tet2	Dnajb4	Prss52	ENSG00000188859	COL6A4P2	ENSG00000231738	C21orf119	ENSMUSG00000038668	DAB2IP
686	ENSG00000178440	PPP2R2C	Tiparp	Kctd1	8030442B05Rik	ENSG00000118257	LOC553103	ENSG00000221866	KIAA0040	ENSMUSG00000097803	FAM185A
687	ENSG00000197467	RNU6-28P	Efemp2	Fam101b	Lce1m	ENSG00000129116	CWC22	ENSG00000198739	ZNF436	ENSMUSG00000090162	FJX1
688	ENSG00000256232	SNORD13	Crip1	Mbnl3	Mir6997	ENSG00000249437	LINC00886	ENSG00000269554	C1orf200	ENSMUSG00000069862	GPER
689	ENSG00000258554	SOX8	Grk4	Nt5dc3	Olfr1416	ENSG00000177570	LOC440600	ENSG00000204464	DUSP7	ENSMUSG00000028782	LDB1
690	ENSG00000273903	THAP8	Kifc3	Slc2a10	Vmn2r98	ENSG00000188312	CLEC19A	ENSG00000175463	ATAD5	ENSMUSG00000089917	LIMS3-LOC440895
691	ENSG00000277873	TOLLIP-AS1	Otud1	Adamts12	En2	ENSG00000280693	GLIS3	ENSG00000157103	ENO2	ENSMUSG00000034757	LOC653501
692	ENSG00000198542	ZBBX	9530091C08Rik	Pea15a	Dbh	ENSG00000187164	MDN1	ENSG00000112273	MC5R	gERCC-00034	MAP3K7CL
693	ENSG00000275216	FKRP	Foxb1	Fgd6	Slc22a1	ENSG00000150401	LINC00581	ENSG00000267941	NLGN4Y-AS1	ENSMUSG00000080533	NUF2
694	ENSG00000258979	UFSP1	Pdgfrl	Sncg	4933427E13Rik	ENSG00000264112	LINC00471	ENSG00000197122	TTC4	ENSMUSG00000031786	RARB
695	ENSG00000258504	ZNF552	Slc6a1	r_MLT1H-int	1700001C02Rik	ENSG00000119333	BARD1	ENSG00000198842	FZD8	ENSMUSG00000082051	STXBP6
696	ENSG00000174171	DTX3	Tspan1	Cbfb	Ear6	ENSG00000117593	ERBB4	ENSG00000167555	ZDHHC17	ENSMUSG00000081843	SYCP2
697	ENSG00000130182	ICAM5	2210409E12Rik	Casp7	Gm3286	ENSG00000101346	FKBP1A-SDCBP2	ENSG00000151834	NKAP	ENSMUSG00000096986	TBC1D4
698	ENSG00000140876	SNORD38A	Foxd3	Ptprd	Hsd3b4	ENSG00000000460	KIAA2022	ENSG00000184144	DDHD1	ENSMUSG00000048701	TTC32
699	ENSG00000135697	ZNF534	H2-Bl	Rhob	Oas1f	ENSG00000103056	LINC00351	ENSG00000171243	H19	ENSMUSG00000030057	USP1
700	ENSG00000170425	ZNF646	Sort1	Zfp703	Syngr4	ENSG00000167513	LOC440518	ENSG00000125637	UCHL5	ENSMUSG00000094249	ZNF521
701	ENSG00000264058	XAB2	D1Ertd622e	Orai1	Tspan2os	ENSG00000184719	LOC653786	ENSG00000149564	THAP4	ENSMUSG00000066068	SYNJ2-IT1
702	ENSG00000267128	YRDC	Tmem181a	Lmo4	Col14a1	ENSG00000035862	OR7A10	ENSG00000159337	NUDT16L1	ENSMUSG00000082814	PLAC9
703	ENSG00000278464	KRTAP19-3	Scd1	Mmgt2	4933433F19Rik	ENSG00000120949	PPP1R13B	ENSG00000131746	NAPEPLD	ENSMUSG00000067653	RPS6KC1
704	ENSG00000278703	RP4-549L20.3	Gm3317	Bmi1	Kif12	ENSG00000205810	PPP1R14A	ENSG00000142512	DERL1	ENSMUSG00000021319	SAMD9
705	ENSG00000089199	ZFP69B	Gm3494	Gm7334	Aanat	ENSG00000124766	SLC6A17	ENSG00000132669	CABIN1	ENSMUSG00000097930	HDAC9
706	ENSG00000125872	ABLIM2	Hs3st3b1	Btg3	Camp	ENSG00000176046	ZNF137P	ENSG00000073146	NRF1	ENSMUSG00000078923	MAP2K4
707	ENSG00000267124	GCK	Mbnl2	St7l	Olfr1279	ENSG00000058804	SMARCAL1	ENSG00000187243	LOC642361	ENSMUSG00000021020	SATB2
708	ENSG00000167676	PCDH8	Ppm1n	Lefty2	Spatc1l	ENSG00000077157	LOC286186	ENSG00000119922	SURF1	ENSMUSG00000044320	PIK3C3
709	ENSG00000214212	RP11-498E2.8	Vmn2r55	Nck1	Vmn1r237	ENSG00000196230	MAMDC2	ENSG00000183018	TAPBPL	ENSMUSG00000042642	VTCN1
710	ENSG00000118156	RP11-613M10.6	9330159F19Rik	Smtnl2	Gjb2	ENSG00000127564	FAM138A	ENSG00000187193	TRAFD1	ENSMUSG00000035545	PAPPA2
711	ENSG00000225007	RP11-731C17.2	Ppp1r14a	Itga11	Aox2	ENSG00000109674	FRS2	ENSG00000169314	MIR137HG	ENSMUSG00000039193	SP3
712	ENSG00000182256	RTN4RL1	Spata31d1a	Tmem176a	1700092C10Rik	ENSG00000136144	GABBR2	ENSG00000133710	DIP2B	ENSMUSG00000024870	SYNJ2
713	ENSG00000223774	SLC24A4	Exph5	Ccdc66	2900055J20Rik	ENSG00000278195	FAM83E	ENSG00000183828	EIF4ENIF1	ENSMUSG00000037730	HSPA13
714	ENSG00000183840	SP140L	Fmn1	Abhd8	C1ql4	ENSG00000144681	FAM138F	ENSG00000125462	HS3ST3A1	ENSMUSG00000059854	DIAPH1
715	ENSG00000245322	AF003625.3	Tmem173	Dnaja4	Eps8l3	ENSG00000065923	FZD10-AS1	ENSG00000125510	IER5L	ENSMUSG00000027324	ATP6V1B1
716	ENSG00000164125	LRRK2	Xlr5b	Plagl2	H2afb3	ENSG00000101773	LAX1	ENSG00000244020	MAP2K4	ENSMUSG00000093826	CKMT2
717	ENSG00000231210	RP1-28O10.1	Dpp4	Tshz3	Mir6347	ENSG00000140525	ADAMTS12	ENSG00000132975	NAAA	ENSMUSG00000059058	COL21A1
718	ENSG00000148926	LIF	A630089N07Rik	Gpm6b	Odf3	ENSG00000138756	FTLP10	ENSG00000118849	TATDN2	ENSMUSG00000041961	DGCR9
719	ENSG00000276972	AC007040.11	BC017158	Fat4	Olfr981	ENSG00000111879	FAM84B	ENSG00000163915	ZC3H12A	ENSMUSG00000048200	KRT14
720	ENSG00000267302	AC009480.3	Pls1	Rusc2	S100a8	ENSG00000101842	HTR2A	ENSG00000143851	TRIM61	ENSMUSG00000065637	LBP
721	ENSG00000010310	AC074212.5	Prdx6b	Npr2	4933433H22Rik	ENSG00000164104	PTAFR	ENSG00000203685	RHOH	ENSMUSG00000045009	LOC100128885
722	ENSG00000185958	AC083884.8	Snora16a	Hist1h2ba	Serpina3c	ENSG00000173207	TTC22	ENSG00000156510	CAPN3	ENSMUSG00000027809	LOC100506713
723	ENSG00000111057	AF131215.9	Snora75	Acta1	Olfr937	ENSG00000166681	ARSF	ENSG00000261594	MAPK3	ENSMUSG00000061313	LOC100996349
724	ENSG00000262075	AL163953.3	Tgm3	r_tRNA-Ile-ATA	Pantr2	ENSG00000163535	HLA-DOB	ENSG00000170160	MBD1	ENSMUSG00000043633	LOC643723
